,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,class
GCN,Scrypt,PoW,163055097500.0,200000000000.0,4.273157062352417,1.231822188223005,0.14724124156684332,gCn Coin,3
SMART,Keccak,PoW,2241009149.22257,5000000000.0,-0.008980767620478787,-0.8004950947579235,0.7159269409025217,SmartCash,0
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0,0.07459711513280992,-0.4812220659543582,-1.5394239003386483,Signatum,4
ONX,X11,PoW,122475638.389743,1100000000.0,-0.2698779541167158,0.7706868638772953,-0.7508197358256363,Onix,2
CRM,Skein,PoW/PoS,47331802.477423795,100000000.0,-0.4262848383844359,0.9521695628660825,0.23919668839893793,Cream,2
BCH,SHA-256,PoW,17995589.6469082,21000000.0,-0.19030031190196184,-0.003828309440019304,-0.043687809204730185,Bitcoin Cash,2
XMCC,X11,PoW/PoS,12569262.535930699,9507271.0,-0.47377594398600714,1.3378001076534347,-0.115735329648197,Monoeci,2
DFT,Scrypt,PoS,18663297.348979898,17405891.19707116,0.09761047779788073,-0.6961914906974065,-1.342604965151544,Draftcoin,4
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0,0.9305134405138358,2.616751902209616,1.1721095674196924,Vechain,2
SOJ,Scrypt,PoW,485214.0,10500000000.0,-0.11504654827161083,0.2755329647567723,-0.2573895771380563,Sojourn Coin,2
STCN,PoS,PoS,4000000.0,61599965.0,0.15923363545967578,-1.2107351117333551,-0.8695257612607485,Stakecoin,4
NYC,Scrypt,PoW,143006669741.68698,0.0,1.942537272421645,0.7411204049274006,-0.2867790081570308,NewYorkCoin,2
FRAZ,Scrypt,PoW,9704042.0,20000000.0,-0.22113446192204164,0.25343476281311916,-0.28018081536868567,FrazCoin,2
KRONE,Scrypt,PoW,17453749.4042601,84000000.0,-0.2203684739016315,0.25359633805139337,-0.2800419900463528,Kronecoin,2
ACC,Scrypt,PoW,32646731.063036,100000000.0,-0.21997638972784156,0.2536819433347641,-0.2800078913242572,AdCoin,2
LINX,Scrypt,PoW,33716526.0,100000000.0,-0.21996020125888688,0.25368559214512837,-0.280007940361547,Linx,2
XCXT,Scrypt,PoW/PoS,19539588.0,48252000.0,-0.4118806553001609,0.8233187667671857,0.35733103193083215,CoinonatX,2
ETHD,Scrypt,PoW/PoS,4200000.0,4200000.0,-0.412559298755577,0.8231734266355994,0.3572359353524669,Ethereum Dark,2
SUMO,CryptoNight,PoW,8946653.0,88888888.0,-0.00044142242475041227,-1.5903588484174567,1.4148227144227128,Sumokoin,0
ODN,SHA-512,PoS,25000000.0,91388946.0,0.11380554584208341,-0.8246603867392661,-1.224198759181012,Obsidian,4
ADA,Ouroboros,PoS,25927070538.0,45000000000.0,1.0274800599046667,-1.1989545424014745,-0.6153258504258929,Cardano,4
REC,X11,PoW/PoS,7262402.04264803,27000000.0,-0.4736789391796162,1.3378189450181672,-0.11569704502176026,Regalcoin,2
BTCZ,Equihash,PoW,5211553258.01514,21000000000.0,0.24931392765362548,-1.1854000139910696,1.1447379346549913,BitcoinZ,0
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000.0,-0.31886799734277843,0.09561966192887128,1.0281469335098627,TrezarCoin,2
ELM,X11,PoW,2702855668.85288,1800000000.0,-0.22373550011737892,0.7809660377844394,-0.749415728051396,Elements,2
TER,Scrypt,PoW/PoS,1140734.91680375,15733333.0,-0.41248868829036495,0.8231873460972283,0.35726115707802236,TerraNovaCoin,2
VIVO,NeoScrypt,PoW,4165967.57499639,27000000.0,-0.13416810564722276,-0.4755674938474795,0.3898930940440962,VIVO Coin,0
